,ResponseID,Real/Sim,SceneID,Object Configuration,Tgt Location,Ref Location,Camera Location,Vector to Target X,Vector to Target Y,Vector to Target Z,Vector to Reference X,Vector to Reference Y,Vector to Reference Z,LP Scores Dict
0,1,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.6666666666666666, 'behind': 0.0, 'at': 0.5, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.5, 'near': 0.3333333333333333, 'close': 0.3333333333333333, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.16666666666666666, 'below': 0.0, 'right': 0.0}"
1,1,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.16666666666666666, 'beside': 0.6666666666666666, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.5, 'below': 0.0, 'right': 0.0}"
2,1,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 0.5, 'on': 0.0, 'near': 0.16666666666666666, 'close': 0.16666666666666666, 'next': 0.16666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.3333333333333333, 'below': 0.0, 'right': 0.5}"
3,1,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.6666666666666666, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.6666666666666666, 'near': 0.6666666666666666, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.3333333333333333, 'below': 0.0, 'right': 0.0}"
4,2,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.16666666666666666, 'against': 0.16666666666666666, 'behind': 0.16666666666666666, 'at': 0.5, 'beside': 0.3333333333333333, 'front': 0.5, 'left': 0.16666666666666666, 'on': 0.3333333333333333, 'near': 0.5, 'close': 0.5, 'next': 0.5, 'over': 0.5, 'on top': 0.5, 'vicinity': 0.5, 'below': 0.5, 'right': 0.8333333333333334}"
5,2,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.6666666666666666, 'front': 0.16666666666666666, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.5, 'next': 0.6666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.16666666666666666, 'right': 0.16666666666666663}"
6,2,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.16666666666666666, 'against': 0.16666666666666666, 'behind': 0.16666666666666666, 'at': 0.3333333333333333, 'beside': 0.5, 'front': 0.16666666666666666, 'left': 1.0, 'on': 0.3333333333333333, 'near': 0.8333333333333334, 'close': 0.6666666666666666, 'next': 0.6666666666666666, 'over': 0.5, 'on top': 0.5, 'vicinity': 0.6666666666666666, 'below': 0.16666666666666666, 'right': 0.0}"
7,2,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.16666666666666666, 'left': 1.0, 'on': 0.8333333333333334, 'near': 0.6666666666666666, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.16666666666666666, 'on top': 0.16666666666666666, 'vicinity': 0.5, 'below': 0.16666666666666666, 'right': 0.0}"
8,3,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.6666666666666666, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.5, 'below': 0.0, 'right': 0.0}"
9,3,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.3333333333333333, 'behind': 0.0, 'at': 0.6666666666666666, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.6666666666666666, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.0}"
10,3,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.3333333333333333, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.16666666666666666, 'close': 0.0, 'next': 0.6666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.16666666666666666, 'below': 0.0, 'right': 0.16666666666666663}"
11,3,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 1.0, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.5, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.5, 'below': 0.0, 'right': 0.16666666666666663}"
12,4,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.16666666666666666, 'on top': 0.0, 'vicinity': 1.0, 'below': 0.0, 'right': 0.0}"
13,4,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 1.0, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.16666666666666666, 'vicinity': 1.0, 'below': 0.0, 'right': 0.0}"
14,4,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
15,4,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 1.0, 'below': 0.0, 'right': 0.0}"
16,5,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.5, 'close': 0.5, 'next': 0.3333333333333333, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
17,5,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.5, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.5, 'close': 0.6666666666666666, 'next': 0.3333333333333333, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.0}"
18,5,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.5, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
19,5,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
20,6,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.6666666666666666, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.6666666666666666, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.0}"
21,6,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.0}"
22,6,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.3333333333333333, 'close': 0.3333333333333333, 'next': 0.3333333333333333, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.3333333333333333, 'below': 0.0, 'right': 0.0}"
23,6,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.0}"
24,7,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.8333333333333334, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.16666666666666666, 'near': 0.6666666666666666, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.16666666666666666, 'below': 0.0, 'right': 0.0}"
25,7,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.5, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.3333333333333333, 'below': 0.0, 'right': 0.0}"
26,7,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.16666666666666666, 'front': 0.3333333333333333, 'left': 1.0, 'on': 0.0, 'near': 0.16666666666666666, 'close': 0.0, 'next': 0.3333333333333333, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.3333333333333333, 'below': 0.3333333333333333, 'right': 0.0}"
27,7,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.6666666666666666, 'behind': 0.0, 'at': 0.6666666666666666, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.16666666666666666, 'near': 0.6666666666666666, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.16666666666666666, 'below': 0.0, 'right': 0.0}"
28,8,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.8333333333333334, 'behind': 0.0, 'at': 0.0, 'beside': 0.8333333333333334, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.8333333333333334, 'next': 0.8333333333333334, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
29,8,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.6666666666666666, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.16666666666666663}"
30,8,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
31,8,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.6666666666666666, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.16666666666666663}"
32,9,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 0.6666666666666666, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.6666666666666666, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.0}"
33,9,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.6666666666666666, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.6666666666666666, 'next': 0.6666666666666666, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.16666666666666663}"
34,9,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.3333333333333333, 'front': 0.0, 'left': 0.8333333333333334, 'on': 0.0, 'near': 0.6666666666666666, 'close': 0.6666666666666666, 'next': 0.3333333333333333, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.6666666666666666, 'below': 0.0, 'right': 0.16666666666666663}"
35,9,real,4,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 0.8333333333333334, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.8333333333333334, 'close': 0.8333333333333334, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.8333333333333334, 'below': 0.0, 'right': 0.0}"
36,10,real,1,left,"(20.0, 15.0, 2.0)","(21.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.0,15.0,-0.5,0.0,15.0,-0.5,"{'above': 0.0, 'against': 1.0, 'behind': 0.0, 'at': 1.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
37,10,real,2,left,"(19.5, 15.0, 2.0)","(21.5, 15.0, 2.0)","(21.0, 0.0, 2.5)",-1.5,15.0,-0.5,0.5,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 1.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 1.0, 'close': 1.0, 'next': 1.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
38,10,real,3,left,"(15.0, 15.0, 2.0)","(26.0, 15.0, 2.0)","(21.0, 0.0, 2.5)",-6.0,15.0,-0.5,5.0,15.0,-0.5,"{'above': 0.0, 'against': 0.0, 'behind': 0.0, 'at': 0.0, 'beside': 0.0, 'front': 0.0, 'left': 1.0, 'on': 0.0, 'near': 0.0, 'close': 0.0, 'next': 0.0, 'over': 0.0, 'on top': 0.0, 'vicinity': 0.0, 'below': 0.0, 'right': 0.0}"
